"","RTENO","X.1","X","AOU","RTENO_AOU","MEANSpeciesTotal","MEANLogSpeciesTotal","SDDiffLogSpeciesTotal_shift","SDDiffBreeding_tmean_shift","SDDiffWinter_tmean_shift","SDDiffAnnual_tmean_shift","SDDiffLogSumBreeding_ppt_shift","SDDiffLogSumWinter_ppt_shift","SDDiffLogSumAnnual_ppt_shift","MeanBreeding_tmeanConsec_shift","MeanWinter_tmeanConsec_shift","MeanAnnual_tmeanConsec_shift","MeanLogSumBreeding_pptConsec_shift","MeanLogSumWinter_pptConsec_shift","MeanLogSumAnnual_pptConsec_shift","RTENO_Years","Years_sp.present","Included_in_BBS_migrant_list","Included_in_nonmigrants_Barnagaud","PermanentResidentSauer","StateNum","Route","Proportion_present","No.ofConsqYears","number.of.brood.per.year.x","mean.clutch.size.x","nest.location","main.habitat","log.transformed.body.mass..grams.","maximum.lifespan..years","English_Common_Name","Passerine","NativeSynanthropic_new","NumberofTSperAOU_p1","MEANpopulation","SDpopulation","SDtemp","MEANtemp","SDppt","MEANppt","Stan_Cent_SDDiffBreeding_tmean_shift_noNA1_30","Stan_Cent_MeanBreeding_tmeanConsec_shift_noNA1_30","Stan_Cent_SDDiffLogSumBreeding_ppt_shift_noNA1_30","Stan_Cent_MeanLogSumBreeding_pptConsec_shift_noNA1_30","Stan_Cent_SDDiffWinter_tmean_shift_noNA1_30","Stan_Cent_MeanWinter_tmeanConsec_shift_noNA1_30","Stan_Cent_SDDiffLogSumWinter_ppt_shift_noNA1_30","Stan_Cent_MeanLogSumWinter_pptConsec_shift_noNA1_30","LIFESPAN","reproduction","stan_cent_reproduction","LogofSDDiffLogSpeciesTotal_shift","HABITAT","cent_MEANLogSpeciesTotal","cent_LogofSDDiffLogSpeciesTotal_shift","cent_SDDiffAnnual_tmean_shift","cent_MeanAnnual_tmeanConsec_shift","cent_SDDiffLogSumAnnual_ppt_shift","cent_MeanLogSumAnnual_pptConsec_shift","cent_maximum.lifespan..years","Latitude","Longitude","BCR","Latitude_raw","Longitude_raw"
"1",2001,2233,2233,7030,"2001 7030",69.73913,6.088097,0.2967328,1.205446,1.759544,0.7826768,0.5654675,0.638013,0.3306068,23.47931,5.498905,15.71999,8.471593,8.598038,10.48457,49,49,"YES","YES","YES",2,1,1,41,3,4,"shrub","shrub",3.89182,8,"Northern Mockingbird","YES","YES",591,2.001609,-2.326258,0.0965285,0.3708025,-0.420444,0.7544675,0.2333382,0.4395872,-0.3689622,0.4240895,-0.4576151,0.2660434,-0.3314363,0.9642889,-1.120876,12,-0.05630129,-1.752764,0,2.06003,-1.334675,0.0152881,1.554407,-0.05033565,0.4237084,-4.029967,-0.386418281987226,0.0701118297639032,27,34.868688,-87.6041417
"2",2001,1676,1676,5930,"2001 5930",76.65217,6.212967,0.3985112,1.205446,1.759544,0.7826768,0.5654675,0.638013,0.3306068,23.47931,5.498905,15.71999,8.471593,8.598038,10.48457,49,49,"NO","YES","YES",2,1,1,41,2,3,"shrub","shrub",3.806662,15.8,"Northern Cardinal","YES","YES",854,2.12293830242425,-1.58471416602713,0.0965284956362465,0.370802510851656,-0.420443961735958,0.754467505356117,0.233338239649616,0.43958722229462,-0.368962226795657,0.424089528849348,-0.457615095050449,0.266043419533247,-0.331436332080073,0.964288921198989,0.922903193941424,6,-0.703167172898469,-1.32730782372708,0,2.18489988277087,-0.909219139147598,0.0152880959504658,1.5544069457428,-0.0503356549770371,0.42370844358161,3.77003298655164,-0.386418281987226,0.0701118297639032,27,34.868688,-87.6041417
"3",2001,3768,3768,7360,"2001 7360",11.71739,3.039659,1.252,1.205446,1.759544,0.7826768,0.5654675,0.638013,0.3306068,23.47931,5.498905,15.71999,8.471593,8.598038,10.48457,49,49,"NO","YES","YES",2,1,1,41,2,5.8,"tree","forest",2.351375,10.9,"Carolina Chickadee","YES","YES",195,-0.9603778,1.293824,0.0965285,0.3708025,-0.420444,0.7544675,0.2333382,0.4395872,-0.3689622,0.4240895,-0.4576151,0.2660434,-0.3314363,0.9642889,-0.3610095,11.6,-0.09942568,0.3242346,1,-0.9884081,0.7423233,0.0152881,1.554407,-0.05033565,0.4237084,-1.129967,-0.386418281987226,0.0701118297639032,27,34.868688,-87.6041417
"4",2001,3329,3329,7310,"2001 7310",14.76087,3.577274,0.9693235,1.205446,1.759544,0.7826768,0.5654675,0.638013,0.3306068,23.47931,5.498905,15.71999,8.471593,8.598038,10.48457,49,49,"YES","YES","YES",2,1,1,41,2,5.5,"tree","forest",3.068053,13.3,"Tufted Titmouse","YES","YES",466,-0.4380091,0.6503583,0.0965285,0.3708025,-0.420444,0.7544675,0.2333382,0.4395872,-0.3689622,0.4240895,-0.4576151,0.2660434,-0.3314363,0.9642889,0.2678457,11,-0.1641123,-0.04494987,1,-0.4507931,0.3731388,0.0152881,1.554407,-0.05033565,0.4237084,1.270033,-0.386418281987226,0.0701118297639032,27,34.868688,-87.6041417
"5",2001,587,587,4090,"2001 4090",11.54348,3.439738,0.5732782,1.205446,1.759544,0.7826768,0.5654675,0.638013,0.3306068,23.47931,5.498905,15.71999,8.471593,8.598038,10.48457,49,49,"YES","YES","YES",2,1,1,41,1,4,"tree","forest",4.143135,12.1,"Red-bellied Woodpecker","NO",NA,410,-0.57164469056276,-0.670341491146,0.0965284956362465,0.370802510851656,-0.420443961735958,0.754467505356117,0.233338239649616,0.43958722229462,-0.368962226795657,0.424089528849348,-0.457615095050449,0.266043419533247,-0.331436332080073,0.964288921198989,-0.0465818646784318,4,-0.918789133923553,-0.802692676045972,1,-0.588329117229129,-0.38460399146649,0.0152880959504658,1.5544069457428,-0.0503356549770371,0.42370844358161,0.0700329865516363,-0.386418281987226,0.0701118297639032,27,34.868688,-87.6041417
"6",2001,386,386,3940,"2001 3940",5.195652,2.039239,1.387669,1.205446,1.759544,0.7826768,0.5654675,0.638013,0.3306068,23.47931,5.498905,15.71999,8.471593,8.598038,10.48457,49,49,"NO","NO","YES",2,1,1,41,1,4.8,"tree","forest",3.295837,11.9,"Downy Woodpecker","NO",NA,80,-1.93242693649172,1.55252707563089,0.0965284956362465,0.370802510851656,-0.420443961735958,0.754467505356117,0.233338239649616,0.43958722229462,-0.368962226795657,0.424089528849348,-0.457615095050449,0.266043419533247,-0.331436332080073,0.964288921198989,-0.098986462441667,4.8,-0.83254034951352,0.472663483617363,1,-1.98882811722913,0.890752168196845,0.0152880959504658,1.5544069457428,-0.0503356549770371,0.42370844358161,-0.129967013448363,-0.386418281987226,0.0701118297639032,27,34.868688,-87.6041417
"7",2001,2598,2598,7180,"2001 7180",17.36957,3.638753,1.144245,1.205446,1.759544,0.7826768,0.5654675,0.638013,0.3306068,23.47931,5.498905,15.71999,8.471593,8.598038,10.48457,49,49,"YES","YES","YES",2,1,1,41,3,4,"tree","forest",3.044522,9.2,"Carolina Wren","YES","YES",338,-0.3782736,1.067524,0.0965285,0.3708025,-0.420444,0.7544675,0.2333382,0.4395872,-0.3689622,0.4240895,-0.4576151,0.2660434,-0.3314363,0.9642889,-0.8064485,12,-0.05630129,0.194396,1,-0.3893141,0.6124847,0.0152881,1.554407,-0.05033565,0.4237084,-2.829967,-0.386418281987226,0.0701118297639032,27,34.868688,-87.6041417
"8",2004,769,769,4090,"2004 4090",8.794872,2.964599,0.5567846,1.216897,1.882184,0.8144618,0.4863436,0.6623023,0.2841685,22.76621,5.266427,15.30057,8.502336,8.561737,10.56074,42,42,"YES","YES","YES",2,4,1,32,1,4,"tree","forest",4.143135,12.1,"Red-bellied Woodpecker","NO",NA,410,-1.0333092226677,-0.743747301103432,0.29721785835835,0.270750211526285,-0.808334073432369,0.890098009663639,0.283581834718511,0.231506790198426,-0.490459803088501,0.452521740297765,-0.175339443029941,0.224611741064124,-0.270181467716946,0.92082406801625,-0.0465818646784318,4,-0.918789133923553,-0.84480878637831,1,-1.06346811722913,-0.426720101798828,0.0470730959504658,1.1349869457428,-0.0967739549770371,0.499878443581609,0.0700329865516363,-0.576813128494616,0.113904626440226,28,34.0297881,-87.0592352
"9",2004,2741,2741,7180,"2004 7180",10.66667,2.997969,1.155196,1.216897,1.882184,0.8144618,0.4863436,0.6623023,0.2841685,22.76621,5.266427,15.30057,8.502336,8.561737,10.56074,42,42,"YES","YES","YES",2,4,1,32,3,4,"tree","forest",3.044522,9.2,"Carolina Wren","YES","YES",338,-1.000886,1.091475,0.2972179,0.2707502,-0.8083341,0.890098,0.2835818,0.2315068,-0.4904598,0.4525217,-0.1753394,0.2246117,-0.2701815,0.9208241,-0.8064485,12,-0.05630129,0.2081377,1,-1.030098,0.6262264,0.0470731,1.134987,-0.09677395,0.4998784,-2.829967,-0.576813128494616,0.113904626440226,28,34.0297881,-87.0592352
"10",2004,2240,2240,7030,"2004 7030",30.4359,4.808302,0.3758745,1.216897,1.882184,0.8144618,0.4863436,0.6623023,0.2841685,22.76621,5.266427,15.30057,8.502336,8.561737,10.56074,42,42,"YES","YES","YES",2,4,1,32,3,4,"shrub","shrub",3.89182,8,"Northern Mockingbird","YES","YES",591,0.7581082,-1.731764,0.2972179,0.2707502,-0.8083341,0.890098,0.2835818,0.2315068,-0.4904598,0.4525217,-0.1753394,0.2246117,-0.2701815,0.9208241,-1.120876,12,-0.05630129,-1.411677,0,0.7802349,-0.9935883,0.0470731,1.134987,-0.09677395,0.4998784,-4.029967,-0.576813128494616,0.113904626440226,28,34.0297881,-87.0592352
"11",2004,1791,1791,5930,"2004 5930",35.66667,5.021942,0.4782913,1.216897,1.882184,0.8144618,0.4863436,0.6623023,0.2841685,22.76621,5.266427,15.30057,8.502336,8.561737,10.56074,42,42,"NO","YES","YES",2,4,1,32,2,3,"shrub","shrub",3.806662,15.8,"Northern Cardinal","YES","YES",854,0.965689582891044,-1.12585225379681,0.29721785835835,0.270750211526285,-0.808334073432369,0.890098009663639,0.283581834718511,0.231506790198426,-0.490459803088501,0.452521740297765,-0.175339443029941,0.224611741064124,-0.270181467716946,0.92082406801625,0.922903193941424,6,-0.703167172898469,-1.06403854558909,0,0.993874882770871,-0.645949861009608,0.0470730959504658,1.1349869457428,-0.0967739549770371,0.499878443581609,3.77003298655164,-0.576813128494616,0.113904626440226,28,34.0297881,-87.0592352
"12",2006,2745,2745,7180,"2006 7180",6.771429,2.39422,1.328594,1.190134,1.736616,0.6592426,0.7166624,0.7262085,0.3280811,23.74117,5.581311,15.91221,8.300907,8.37999,10.37517,38,38,"YES","YES","YES",2,6,1,30,3,4,"tree","forest",3.044522,9.2,"Carolina Wren","YES","YES",338,-1.587513,1.443135,-0.6828307,0.4166564,-0.4415406,0.5596667,0.1661537,0.5159972,-0.1367971,0.2662331,-0.5103876,0.2807296,-0.1090173,0.70321,-0.8064485,12,-0.05630129,0.4099003,1,-1.633847,0.827989,-0.1081461,1.746627,-0.05286135,0.3143084,-2.829967,-0.469802632998913,0.14393684415007,24,34.5012877,-86.6855493
